Signed Integer,Unsigned Integer,Hexadecimal,Description
0,0,0x00000000,Success
1,1,0x00000001,Incorrect function.
2,2,0x00000002,The system cannot find the file specified.
3,3,0x00000003,The system cannot find the path specified.
4,4,0x00000004,The system cannot open the file.
5,5,0x00000005,Access is denied.
6,6,0x00000006,The handle is invalid.
7,7,0x00000007,The storage control blocks were destroyed.
8,8,0x00000008,Not enough storage is available to process this command.
9,9,0x00000009,The storage control block address is invalid.
10,10,0x0000000a,Unit test error string
11,11,0x0000000b,An attempt was made to load a program with an incorrect format.
12,12,0x0000000c,The access code is invalid.
13,13,0x0000000d,The data is invalid.
14,14,0x0000000e,Not enough storage is available to complete this operation.
15,15,0x0000000f,The system cannot find the drive specified.
16,16,0x00000010,The directory cannot be removed.
17,17,0x00000011,The system cannot move the file to a different disk drive.
18,18,0x00000012,There are no more files.
19,19,0x00000013,The media is write protected.
20,20,0x00000014,The system cannot find the device specified.
21,21,0x00000015,The device is not ready.
22,22,0x00000016,The device does not recognize the command.
23,23,0x00000017,Data error (cyclic redundancy check).
24,24,0x00000018,The program issued a command but the command length is incorrect.
25,25,0x00000019,The drive cannot locate a specific area or track on the disk.
26,26,0x0000001a,The specified disk or diskette cannot be accessed.
27,27,0x0000001b,The drive cannot find the sector requested.
28,28,0x0000001c,The printer is out of paper.
29,29,0x0000001d,The system cannot write to the specified device.
30,30,0x0000001e,The system cannot read from the specified device.
31,31,0x0000001f,A device attached to the system is not functioning.
32,32,0x00000020,The process cannot access the file because it is being used by another process.
33,33,0x00000021,The process cannot access the file because another process has locked a portion of the file.
34,34,0x00000022,"The wrong diskette is in the drive.Insert %2 (Volume Serial Number: %3) into drive %1."
36,36,0x00000024,Too many files opened for sharing.
38,38,0x00000026,Reached the end of the file.
39,39,0x00000027,The disk is full.
50,50,0x00000032,The request is not supported.
51,51,0x00000033,Windows cannot find the network path. Verify that the network path is correct and the destination computer is not busy or turned off. If Windows still cannot find the network path contact your network administrator.
52,52,0x00000034,You were not connected because a duplicate name exists on the network. If joining a domain go to System in Control Panel to change the computer name and try again. If joining a workgroup choose another workgroup name.
53,53,0x00000035,The network path was not found.
54,54,0x00000036,The network is busy.
55,55,0x00000037,The specified network resource or device is no longer available.
56,56,0x00000038,The network BIOS command limit has been reached.
57,57,0x00000039,A network adapter hardware error occurred.
58,58,0x0000003a,The specified server cannot perform the requested operation.
59,59,0x0000003b,An unexpected network error occurred.
60,60,0x0000003c,The remote adapter is not compatible.
61,61,0x0000003d,The printer queue is full.
62,62,0x0000003e,Space to store the file waiting to be printed is not available on the server.
63,63,0x0000003f,Your file waiting to be printed was deleted.
64,64,0x00000040,The specified network name is no longer available.
65,65,0x00000041,Network access is denied.
66,66,0x00000042,The network resource type is not correct.
67,67,0x00000043,The network name cannot be found.
68,68,0x00000044,The name limit for the local computer network adapter card was exceeded.
69,69,0x00000045,The network BIOS session limit was exceeded.
70,70,0x00000046,The remote server has been paused or is in the process of being started.
71,71,0x00000047,No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept.
72,72,0x00000048,The specified printer or disk device has been paused.
80,80,0x00000050,The file exists.
82,82,0x00000052,The directory or file cannot be created.
83,83,0x00000053,Fail on INT 24.
84,84,0x00000054,Storage to process this request is not available.
85,85,0x00000055,The local device name is already in use.
86,86,0x00000056,The specified network password is not correct.
87,87,0x00000057,The parameter is incorrect.
88,88,0x00000058,A write fault occurred on the network.
89,89,0x00000059,The system cannot start another process at this time.
100,100,0x00000064,Cannot create another system semaphore.
101,101,0x00000065,The exclusive semaphore is owned by another process.
102,102,0x00000066,The semaphore is set and cannot be closed.
103,103,0x00000067,The semaphore cannot be set again.
104,104,0x00000068,Cannot request exclusive semaphores at interrupt time.
105,105,0x00000069,The previous ownership of this semaphore has ended.
106,106,0x0000006a,Insert the diskette for drive %1.
107,107,0x0000006b,The program stopped because an alternate diskette was not inserted.
108,108,0x0000006c,The disk is in use or locked by another process.
109,109,0x0000006d,The pipe has been ended.
110,110,0x0000006e,The system cannot open the device or file specified.
111,111,0x0000006f,The file name is too long.
112,112,0x00000070,There is not enough space on the disk.
113,113,0x00000071,No more internal file identifiers available.
114,114,0x00000072,The target internal file identifier is incorrect.
117,117,0x00000075,The IOCTL call made by the application program is not correct.
118,118,0x00000076,The verify-on-write switch parameter value is not correct.
119,119,0x00000077,The system does not support the command requested.
120,120,0x00000078,This function is not supported on this system.
121,121,0x00000079,The semaphore timeout period has expired.
122,122,0x0000007a,The data area passed to a system call is too small.
123,123,0x0000007b,The filename directory name or volume label syntax is incorrect.
124,124,0x0000007c,The system call level is not correct.
125,125,0x0000007d,The disk has no volume label.
126,126,0x0000007e,The specified module could not be found.
127,127,0x0000007f,The specified procedure could not be found.
128,128,0x00000080,There are no child processes to wait for.
129,129,0x00000081,The %1 application cannot be run in Win32 mode.
130,130,0x00000082,Attempt to use a file handle to an open disk partition for an operation other than raw disk I/O.
131,131,0x00000083,An attempt was made to move the file pointer before the beginning of the file.
132,132,0x00000084,The file pointer cannot be set on the specified device or file.
133,133,0x00000085,A JOIN or SUBST command cannot be used for a drive that contains previously joined drives.
134,134,0x00000086,An attempt was made to use a JOIN or SUBST command on a drive that has already been joined.
135,135,0x00000087,An attempt was made to use a JOIN or SUBST command on a drive that has already been substituted.
136,136,0x00000088,The system tried to delete the JOIN of a drive that is not joined.
137,137,0x00000089,The system tried to delete the substitution of a drive that is not substituted.
138,138,0x0000008a,The system tried to join a drive to a directory on a joined drive.
139,139,0x0000008b,The system tried to substitute a drive to a directory on a substituted drive.
140,140,0x0000008c,The system tried to join a drive to a directory on a substituted drive.
141,141,0x0000008d,The system tried to SUBST a drive to a directory on a joined drive.
142,142,0x0000008e,The system cannot perform a JOIN or SUBST at this time.
143,143,0x0000008f,The system cannot join or substitute a drive to or for a directory on the same drive.
144,144,0x00000090,The directory is not a subdirectory of the root directory.
145,145,0x00000091,The directory is not empty.
146,146,0x00000092,The path specified is being used in a substitute.
147,147,0x00000093,Not enough resources are available to process this command.
148,148,0x00000094,The path specified cannot be used at this time.
149,149,0x00000095,An attempt was made to join or substitute a drive for which a directory on the drive is the target of a previous substitute.
150,150,0x00000096,System trace information was not specified in your CONFIG.SYS file or tracing is disallowed.
151,151,0x00000097,The number of specified semaphore events for DosMuxSemWait is not correct.
152,152,0x00000098,DosMuxSemWait did not execute; too many semaphores are already set.
153,153,0x00000099,The DosMuxSemWait list is not correct.
154,154,0x0000009a,The volume label you entered exceeds the label character limit of the target file system.
155,155,0x0000009b,Cannot create another thread.
156,156,0x0000009c,The recipient process has refused the signal.
157,157,0x0000009d,The segment is already discarded and cannot be locked.
158,158,0x0000009e,The segment is already unlocked.
159,159,0x0000009f,The address for the thread ID is not correct.
160,160,0x000000a0,One or more arguments are not correct.
161,161,0x000000a1,The specified path is invalid.
162,162,0x000000a2,A signal is already pending.
164,164,0x000000a4,No more threads can be created in the system.
167,167,0x000000a7,Unable to lock a region of a file.
170,170,0x000000aa,The requested resource is in use.
171,171,0x000000ab,Device's command support detection is in progress.
173,173,0x000000ad,A lock request was not outstanding for the supplied cancel region.
